review,sentiment
"不用看壽司郎人絕對多
一定要定位
為什麼會給店家五顆星呢
雖然人很多但是還是很有水準
餐點感覺都很乾淨 不會因為人很多餐點完全沒有品質，而且上餐點的速度很快 ，順便推薦一些期間限定的商品，有些忘記名字就大概叫那樣

💕抹茶巧克力蛋糕
很普通，沒有什麼抹茶味，也不會太甜，蠻好切的

💕海膽拌面
真的有海膽，而且蠻多的，但是大部分都是奶醬的味道，然後是乾麵喔！不得不說這次的麵體很好吃，很能沾附醬汁，整體吃起來很像白醬海膽義大利麵，但是麵條好吃很多，有微微的海味怕海膽的人也可以試試看

💕墨魚拌麵
這款就還好，只是墨魚本來就沒什麼味道，只是很黑而已，但是上面的炸墨魚蠻多很好吃

💕巴斯克奶霜蛋糕
超級超級超級推薦，我甚至想點第二個，超級濃郁的乳酪蛋糕，搭配奶霜真的很讚，奶霜不會太甜，搭配淡淡的奶味真的很配，而且他們用的很綿密，超級讚的，比甜點店賣的還要好吃很多啊！",positive
"用餐時間要訂位，不過APP訂位有點複雜搞不太懂。
食物品項多，口味還可以，喜歡握壽司的人，應該會滿意。推薦茶碗蒸(有點貴）。",positive
跟朋友去吃跟店員說要分開算，一聽到我們要分開算就皺眉頭用不耐煩的語氣問我們要怎麼分開算，皺到結算完才走：））店員是林佩X,negative
堂堂一間知名連鎖壽司店，居然桌子上沒有衛生紙跟濕紙巾，甚至連醬料碟都沒有，實在是傻眼，真的有這麼窮嗎？,negative
壽司郎應該是不用多講，除了固定的餐點之外，也會有一些期間限定的餐點，但好不好吃，對不對胃口就因人而異，近期去吃的這次覺得新的項目都沒有很吸引我，印象中前一次去吃的就比較多合胃口的項目，偶爾想到去晃一下看看有沒有新品也是不錯。整體餐點覺得水準都不錯，以價位來說還可以接受，雖然希望可以再低價一點點。然後覺得平板很容易當機，近期去吃的兩次都遇到平板死當沒有任何反應，只能請店員拿去處理。,positive
"今天4/2號點了外帶天婦羅拼盤只用「裝湯的小碗」裝了三片地瓜？！其它炸物、炸蝦都沒有？！
點了80元的焦糖千層，結果給60元的千層？！貴店的餐廚是？？？？？",negative
"食材不是很新鮮，有些鮭魚偏水口感軟爛，蝦有點腥味，
結帳時服務員態度不佳，
桌邊提供的熱水有股奇怪的味道，
連加抹茶粉都蓋不住。",negative
"連鎖壽司店來說，還是最愛「壽司郎」，從品項多寡、新鮮度、口味，都忍不住讓人一再回訪。西門店不大，建議先用app預約不要現場排隊。停車可以停在路邊，或是停在全聯合作的停車場，到全聯購物滿300可折抵一小時，這次就是壽司吃飽，然後到全聯散步購物～
📍歡迎追蹤IG👉rourou_papago …",positive
順路經過來蒐集一下，台南的各家壽司郎分店都吃過了，裝潢跟服務都差不多，食材也新鮮，沒有專屬停車場，但可以停在小北觀光夜市的收費停車場。,positive
"每個禮拜都要來吃的壽司店
壽司郎是幾間連鎖壽司中最喜歡的🥰
線上候位很方便，旁邊又很好停車～～
集點還常常送東西！
最喜歡酪梨炸蝦、烏龍麵、玉子燒🤍",positive
"最推雪花冰跟貝柱，其他魚類也都不錯
現在不太需要排隊了，今天大概五點去的，大概做1/4滿，六點之後才陸續有人來
東西還算不錯       印象中之前有海膽      不過現在好像沒了       有點可惜
轉扭蛋的方式是累積點數     300元一點       如果兩個人去吃六百塊的話       會給你兩張集點卡     每張各蓋一點       累積起來的速度非常慢        跟藏壽司比起來差很多     藏壽司五盤就有機會可以得到扭蛋       雖然要差不多20盤還是25盤才會得到一個         但得到的速度還是比壽司郎來的快
其他服務人員的服務、周邊停車等等都很好",positive
喜歡不只有生食的壽司首選，有熟食還有炙燒壽司的選擇較多，湯品類與日本相同的鹹,positive
"壽司米飯不錯吃，油煙味稍重
服務人員親切，動線規劃不錯
鮮蝦酪梨卷大推，總共吃了3盤
其他都還行，薯條現炸...燙...",positive
"還不錯，但是有點小貴
食材蠻好吃的。",positive
壽司郎西門路的分店，服務不錯，口味跟新鮮度都可以，離峰時間來吃不用等，沒有停車場，可以停最近的小北觀光夜市停車場。,positive
"我們是兩個人用餐+外帶，我們自己裝盒，外帶塑膠袋1元沒關係可以拿過來讓我們裝啊
我們才能帶過去結帳，還要客人手捧著2盒拿到櫃檯，真是不貼心，態度不耐煩",negative
"真的很雷阿🙄，跟爭鮮一樣雷
比爭鮮還貴....價格爭鮮略勝
一樣小貫卻比人貴
小孩特地要集點，吃了1460
只能集一點（300元）
什麼爛規定阿🙄🙄
很多一貫的就要40/60
說真的....真的很差
如果真的要吃，我甘願吃好市多的
還比這裡有誠意
要不是小孩生日說想來吃
我真的不來
一次店....如果想體驗踩雷的這間首選",negative
"用app訂位很方便
平板點餐是現做的
季節都有限定餐點
食材新鮮
用餐環境乾淨
不能去出國去日本解鄉愁的地方",positive
壽司郎西門店的壽司口味 新鮮度都非常的美味。,positive
"一定要提前定位
要不然會等很久
可以在iPad點自己喜歡的
不會等太久，餐點就送來
餐點算蠻多的
只是位子有時沒擦乾淨
這點可能要加強",positive
疫情期間去用餐，有好一陣子醋飯都是爛爛的一夾就散掉，且東西沒有很新鮮，因此有一陣子沒去了，上個月去吃，狀況改善不少，又回到剛開店時的水準了。,positive
"父親節用app還能訂到位子，很幸運。
已經不是第一次吃壽司郎，卻是第一次到這家分店。
點了口感軟又好咬的拉麵、茶碗蒸，年邁的爸爸吃的津津有味。我還是拿愛吃的炙燒鮮蝦和鮭魚，一如既往的好吃。
這次有道舒肥雞肉搭香辣醬的壽司很好吃，所以又拿了一盤。",positive
生意很好，餐具補充會有不足的狀況，建議像爭鮮一樣放個小桶子讓顧客放垃圾。,positive
"食材新鮮，壽司還蠻大的，不錯吃，價格中上。
推薦可以點他們的天婦羅或雪花冰，絕對不會後悔~天婦羅是現炸的，上來的時候還很燙，雪花冰很大一碗，而且是整塊冰磚削出來的，超好吃",positive
"真他媽太好吃了
但是價格相對的也很高
我一個人吃完剛好一千",positive
"好吃😋
九點後不用等
進去可先洗手消毒
停車位很多
餐點快速
綠茶好喝
平均一人300元
服務很好可集點刷卡

還會再來
快去金門開
會比爭鮮生意好",positive
"口味/環境/預約方式/價格
我們都很滿意

三人共同感想
爭鮮危險了

唯一缺點
扭蛋的遊戲規則
滿額集點強迫拆開累計",positive
"雖然是週末來用餐
但是店內環境還算整潔
出餐速度也很不錯",positive
"從進去店員就在聊天
我們坐得位子也是靠近後面
也聽得到裡面的店員在聊天
出餐速度很快（因為我們去的時間非吃飯時間所以都是用點的）但我真的不能理解為什麽鮪魚細卷 做的這麼像被狗啃的…味道也有點奇怪
吃的時候蒼蠅一直飛🫠
不會再去謝謝",negative
第一次吃去的時候沒什麼人，也沒帶位也沒介紹，吃完要結帳時才發現位子牌後面有說明，問題是迴轉鏈上也沒有濕紙巾，也沒有諜子。,negative
"相比其他迴轉壽司來的好吃
都採平板點餐制 這點很推 不會等太久等不到想吃的
不定時推出限定壽司 時常會有好料的",positive
第一次吃這間分店，老習慣單點吃了十幾盤，越吃越不對勁，單點做的貌似都偏小，轉盤上的尺寸貌似正常些。,positive
"乾淨好吃 機車可停附近的市場
這家比南紡壽司郎人潮少～～",positive
食物現做，新鮮、美味，外帶也很好吃，服務態度佳,positive
"門口圍起來的停車場不是壽司郎的哦哦哦！
人很多建議app訂位！！！",positive
我愛炙燒起士鮭魚😻 …,positive
生魚片系列非常新鮮，可惜醋飯有點散散的，希望下次貴店能改進。,positive
"壽司郎一向品質好👍🏻
焗烤鮭魚壽司真的愛🤍 …",positive
"最愛的迴轉壽司 沒法取代 品項多 質量好 服務優
但冷氣太冷",positive
有的吃起來感覺沒到很新鮮，不過大部分都還好，然後沒預約可能要等超久,positive
"10/8號外帶的客人
動線很亂根本找不到人服務或是要去哪裡點外帶，好不容易有人理我，
我點了外帶1人份的餐點，現做要等可以理解也合理；
店員請我先不要結帳在現場等，我也等了；
10分鐘後看到我的餐點出現放到櫃檯後面，想說等一下就會有人叫我去結帳，結果店員忙著結別人的帳並沒有注意，到後來另一個店員看到才叫我，還請我重新排隊等結帳，
我就很納悶我自己在現場等了10分鐘等我的餐再等5分鐘有人注意到我的餐盒，現在還要請我重新排隊結帳？雖然反應後他們有另外幫我結帳但整個程序也是亂七八糟說要存載據結果發票印出來？？？
等餐點回家之後發現食物根本就是熱的一點都不冷，然後壽司整個亂成一團沒有一個是完好的，我還是開車讓餐點吹著冷氣到家也沒有碰撞還可以變這樣？
真的是印象非常的差的一次外帶體驗，$160拿去買對面的麥當勞比較划算。",negative
跟爭鮮比起來好像差不多 ，甜點類、麵類比較豐富 ，沒什麼好建議的 ，就點自己想吃的來吃就行 。,positive
壽司上有活的蟲，告知服務人員後，回應應該是外面飛進來的，用餐體驗有點差,negative
"不錯吃的
但最近去過一次感覺沒之前吃的新鮮了🤔 …",positive
跟朋友來嘗鮮，還不錯吃，也是個寵物友善餐廳，所以還會在光顧的,positive
"季節限定，先來吃一波
公魚很好吃😋
可樂餅的奶醬好吃 …",positive
"廁所是免治馬桶
坐上去溫溫熱熱 前後洗淨也溫溫熱熱
很舒服 很不錯
雙淇淋一如既往好吃
炙燒的品類也是一如往常又油又膩
以價位來說有點小貴 爭鮮相對會更清爽
但是甜醬油很好吃 還有冰水
還是很值得來",positive
"這是我這輩子 吃過 最鹹的拉麵 雖然我不喝湯 只吃 拉麵 依然 把我 鹹的 不要不要的
另外 櫃台結帳 的小姐 從頭到尾 一聲謝謝 都沒有 還是我 結完帳後 說了聲 謝謝您 正準備離開 時回頭一看 他居然 和同事 有說有笑 原來 她不是晚娘 喔喔 還有 他們的 壽司 製作擺盤 非常 隨便。 有圖有真相。其實我非常少拍照。因為是用另一隻手機拍的所以只能翻拍。",negative
等了約30分鐘，可先到附近的小北夜市吃點東西然後再進去吃，鮪魚腹蠻好吃的再來個牛跟豬好吃，搭配綠茶味道蠻好的。,positive
很棒的連鎖餐廳，服務與整潔都令人滿意，生意好也不會招待不周❤️,positive
"我只能說：只要去吃過的，掛保證👍
一定會在回籠.....料好、實在、新鮮😄 …",positive
"各分店皆有一定的水準
降評 4／3 櫃檯服務員口氣很跩",negative
直接換吧檯座不用等，東西一樣好吃,positive
一定要先訂位，壽司郎還是很好吃的,positive
11整點進，12點完餐，快速方便，停車自找，有機車位，4大2小，1400元，有6人坐，4人坐。,positive
"剛剛發生一件很詭異的事件
當我下午兩點半肚子餓騎車經過西門路的時候
看到一家壽司郎就停下來走了進去
一進門一位女性員工在洗手台洗東西並招呼著
一名男性員工趴在櫃檯上玩著手機
直到我走到櫃檯邊他才不情願的說著
有來過壽司郎用餐嗎？
當時我腦袋第一個念頭想著我是不是打擾到人家玩手機了，又想到去過別家不知道算不算，就在這時我莫名的點了點頭
這是他拿出一張號碼牌說你的座位14號在第一排
當我走到位置要坐下時發現椅子上有水滴大概50元硬幣大小
正想著該不該換座位時，腦海出現神之謎音說：不要打擾人擦一擦不就好了
然後就坐下來了，坐下後找不到醬油碟
手癢按下服務鈴，該男性員工走了過來
問需要什麼
我回答請問醬油碟在哪？
他睜大眼睛（好似我說了不該說的）說著在前面喔，請自己去拿
當下我羞的想挖洞鑽
只好隨便點了5盤趕緊結帳走人（原以為會吃上10來盤的）

免得一再耽誤打擾別人",negative
停車還算方便，內用座位多，不需等候太久，品質就如同其他間壽司郎。,positive
"我很注重壽司米，所以光是米不行，我就吃不下去，生魚跟藏壽司的新鮮品質比起來差很大。

烏龍麵還好
整體來說，，，以上純屬個人個人個人感覺。
感謝。",negative
"就壽司郎，每間都差不多
但這間非常建議先線上訂位，各時段生意都非常火爆",positive
連鎖店吃的都一樣，這間停車稍微麻煩點，路邊車格沒有，就只能去停對面小北夜市的停車場，或是全聯的停車場，在全聯消費可以折抵一些停車費。,positive
"印象中壽司郎我沒很喜歡
因為我喜歡炙燒焦糖鮭魚 第一次去吃的時候沒有看到
但大家都說 壽司郎有 只是我沒找到…
所以再來一次……結果……
靠！啊就真的沒有啊！
只有起司炙燒鮭魚而已！

結論是甜點很普壽司很普
但拉麵好像還不錯（？）

重點：可以來壽司郎吃拉麵跟喝葡萄沙瓦",positive
"好不容易收集的點數竟然給我作廢不算數，那麼集點卡記載的2年有效期限是寫好玩的嗎?
再好吃的東西也嚥不下去了!",negative
吃飽上車了以後才發覺根本算錯，沒點100元碗-200T跟40元容器-40T，只有拿空杯泡了兩小杯抹茶試喝看看，平白無故被多收240元，店員先生眼睛到底看到什麼🤔？？？當了冤大頭👎👎👎，建議結帳前真的要自己先算一次，或跟店員確認，我和家人不會再去😡😡😡😡😡😡😡⋯⋯去爭鮮跟藏壽司吃超多次從來沒有算錯的問題,negative
"某次平日內用點了茶碗蒸
結果是冷的....連一點溫度都沒有 很失望
客人少不能成為品質低下的藉口",negative
"來推薦的是海膽拌麵，很棒的體驗
壽司就不多說了
貝類壽司cp都挺高的
喔對了，芒果冰如果不是當季不要點喔🤭
吃吃冰淇淋就好",positive
"這一次來明顯感覺壽司變精緻也變厚了😮
是不是跟藏壽司在對抗呀！
而且商品項目也多好多～
這樣的良性競爭真是太棒了♡ …",positive
已經提早20分鐘報到，還是空等了5分鐘，這還是我們主動去跟櫃檯抱怨才能入座…試問，這樣訂位有意義嗎？,negative
之前常常來吃，現在的外帶份量縮水很厲害，舉例茶碗蒸只有一半不到，這種商家不吃也罷,negative
女服務員態度不是很好，臉還很臭，用餐餐具竟是拆開來的竹筷子…,negative
這是我吃過最差的鮪魚大腹…帶筋還咬不太動…吐出來…有跟員工反應要留意品質！但沒有任何回應⋯⋯失望還是失望,negative
三貫金盤好吃，三貫鮭魚也不錯,positive
甜點、茶碗蒸👍 …,positive
有喜歡吃的壽司，最喜歡鮮蝦三貫跟炙燒握壽司，鮮度一直滿意，現點的出餐速度也很快，酥炸類總是熱騰騰燙口。,positive
"食材的新鮮和品質程度絕對高於爭鮮，所以比較貴我認為很合理。只是我常常看到旋轉台上的壽司上面的食材掉的亂七八糟，甚至碰到了旋轉台，這個可能要改進。去消費了600元但結帳的店員沒有主動詢問要不要集點卡🥺損失了兩點
2021年4月28日更新
我大約一到兩星期至少會去一次壽司郎西門店，但是最近去的時候常常遇到一些讓人比較不滿意的點。例如某次消費時點了一盤鮮蝦三貫，醋飯有莫名的清潔劑味（當下沒有叫服務人員是想說算了，畢竟其他盤沒有，或許是我的錯覺）。上次去消費的時候，在鮭魚壽司的醋飯裡面吃到疑似塑膠的東西，後來服務人員告知那是軟刺，也有換一盤給我，算是很好的應變措施，但點的烏龍麵裡面有蠻大的蛋殼，覺得品質實在不太穩定。希望能改善。",positive
"環境舒適，服務人員服務很好👍
餐點都快速提供，非常好吃😋
食材的切面漂亮又好看，吃起來滿足又美味👍
每個月都有新商品，喜歡這次的炸竹輪🥰
以後會經常來消費的👍👍👍👍",positive
"外帶圖文不符….宣傳單用得很漂亮拿到是用便當盒裝而已
非常失望",negative
算是好吃的壽司店，活動禮品集滿卻換不到，有點不爽啊～,positive
覺得料理的食材、外觀、等級、CP值比爭鮮高蠻多...,positive
味噌湯超鹹噢 公司定的配方就這樣,positive
"壽司還是一樣美味，但這次一夾起飯就散掉。
11/12晚的收銀小姐似乎忘了禮貌，結完帳沒說謝謝，反倒是顧客還跟她說。
收錢包時，發覺下一位客人結完帳也沒說，
不知道這間店的人員訓練發生什麼狀況。",negative
"跟其他分店比起來差了許多
已經5點多晚上用餐時間了
可能是因為店內用餐人數少就沒開空調，非常悶熱
而且轉盤上的東西少的可憐，久久才出現一盤

用平板點餐，一次只要點1盤以上就有機會漏出餐
重點是明明沒出餐，它還會自動幫你說已出餐結束
用餐一次已經漏掉了兩盤
肚子空空 轉台空空 傳送帶空空的狀況下真的很傻眼

握壽司飯量就這樣，是在可憐誰
另外赤蝦的大小不一，炙燒赤蝦又小又縮 是萎縮？
搞得用餐客人好像乞丐一樣:)到底有沒有在用心
種種跡象都看出這間店在省成本
何不在有客人時好好把握住人流？
一次次的失望之後自然客源流失
品質以後大概也只會愈來愈差了

忽然不難理解為什麼這間店晚餐時段還沒什麼客人了",negative
"吃過這麼多間壽司郎這間品質真的很差勁 ..

飯真的乾又黏，吃了幾顆後整個很反胃

外帶餐點還出錯 .. 真的很傻眼 ..

連鎖的店 不是應該品質都要始終保持一定水平嘛？

真的是一次很不愉快的用餐經驗呢 ！

蝦子吃起來口感也很不滑順，回家立馬拉肚子

我傻眼 🙄️",negative
"沒有哈密瓜就不要叫哈密瓜雪花冰！
這根本是香瓜雪花冰 怒 欺騙消費者
這要100😠😠😠😠😠 …",negative
"壽司好吃、員工親切、停車方便、廁所乾淨
除了享受美食外，還有扭蛋玩❤️
今天一口氣扭了十隻貓，相當滿足☺️",positive
每次來生意都很好，人多的話需要等一段時間，比爭鮮好吃，推薦炙燒鮭魚，還有雪花冰是一定得吃的  ´ސު｀（草莓超甜！）,positive
"鮭魚刺生真的越來越薄！
已經薄到半透明的....
東西好吃但鮭魚累很不穩定
還有吃過咬不斷的感覺是要碰運氣",negative
店內舒適，環境乾淨，很適合親子帶小孩來吃。,positive
"今天點了炸物吃到一半覺得不舒服，滿嘴的油味...
往盤子一看才發現積了一層油在底部
跟店員反應後只說會跟內場反應",negative
這次鮭魚季品質都不錯，海膽拌面也很好吃！,positive
好擠的座位，人超多，用餐氣氛真的只比夜市好一點。,positive
"雖然是疫情期間使用隔板沒錯
但是擋同桌的有什麼意義？
然後面對走道的沒有擋
而且還是用這種非透明隔板
讓人吃飯覺得心很累",negative
握壽司非常鬆散  餐點到的時候握壽司上的肉片非常容易掉   歡迎體驗,negative
好吃的壽司，現在推出北海道新鮮食材，不知不覺就會吃過量啊～,positive
鰻魚真的超級好吃,positive
"人員很親切，東西也很好吃
希望可以常辦優惠活動，我會再來ㄉ",positive
"現在集點方式改為APP，採計次方式，一次消費累積一點，沒有消費金額的限制，但是記得先透過APP抽號/預約，到現場完成報到唷～

#停車
周圍有許多汽機車的停車格，還算好停車。

#餐點
可從迴轉台上取餐，或是使用平板點餐，不定期會有新餐點可以嚐鮮。",positive
品項選擇多，衛生，新鮮，用餐座位空間剛好。,positive
配合度高，依特殊外帶取餐時間，快速出餐~餐點新鮮美味,positive
"離峰時間來，不用等
吃得很滿足 🤭 …",positive
服務態度很好，店員會認真不耐煩解釋，個人覺得比南紡服務好,positive
促銷活動，一般2貫40，促銷3貫60，這是什麼邏輯？,negative
"喜歡壽司郎可以用app訂位，免去現場等待的時間。西門店停機車蠻方便的，環境乾淨明亮，很舒適。

自從壽司郎來台南開店之後，吃了三四次，我是不吃生食的人，但壽司郎有很多熟食選項，也有熟食壽司，不吃生魚片也可以吃得很開心。

特別喜歡壽司郎的蒸蛋，高湯味道很棒、吃得到豐富的料，雖然有點貴，但每次來還是會點。",positive
假日超多人的，覺得壽司郎的炸物很好吃👍🏻 …,positive
壽司系列還不錯，海膽稍腥，麵類好吃，炸物有點油！,positive
疫情外帶Uber訂購後圖片是上方有黑色餐盒整體裝著，但送來確實白色餐盒3個，壽司都倒了，怎會這種品質，為什麼不用黑色盒子整齊擺放，台灣另一個品牌都能做好日本品牌卻這樣，大失望～日本要求圖文一致在台灣好像不適用～,negative
全程只有最後需要和人類店員接觸，超棒，食物好吃。,positive
我很少標一顆星的，疫情期間我能理解轉盤沒啥東西要現點但是送上來的壽司，我叫的是握壽司不是散壽司好嗎，每一顆都是零零落落，無法正常用筷子完整夾起，魚肉有夠薄的，帶位不順就算了，客人還在清點盤數都還沒收桌就叫人預備站好等你們，是多怕浪費翻桌時間，結帳也要排隊至少卡了6名，3個人在櫃檯不知道瞎忙什麼，一次店，完全不會再有去消費的意思,negative
價格偏貴 但食材新鮮 抹茶粉好喝 空間舒適 服務人員態度佳 除了櫃檯的..,positive
口感不佳的亷價壽司，以快速供餐吸收大量食客為主旨，抹茶搭配日式感十足。,negative
"服務態度超好💪
今天不小心自己算錯盤數，麻煩到店員真是不好意思，東西也超好吃，已經來吃好多次！",positive
讚啦，環境乾淨舒服，點餐送來的速度也不會慢😀 …,positive
"價格偏貴 拉麵很小一碗
桌上有抹茶粉可以自己泡茶
用螢幕點餐很方便 出餐速度也很快",positive
"比較喜歡他們的炸物
環境很好，我喜歡 🙂 …",positive
"餐點好吃^ _ ^
用餐環境舒適",positive
老婆女兒每盤都說好吃，千層及百香雪花也好吃，三個人吃好飽，價位還能接受，點餐出菜速度蠻快的,positive
餐點選項豐富，醋飯調味偏淡,positive
壽司郎的生魚片跟壽司品質良好，相當好吃，還有豚骨拉麵也很有水準,positive
用餐環境舒適,positive
好吃，服務佳，不貴，CP值高,positive
非用餐時段不建議來，實際轉台上的壽司太少了,negative
"環境整潔 該有的服務都有
加工嚴重了些 生魚片類的鮮度較不足
甜品好吃",positive
